time,h2_prod_kg,total_elec_cons_kw,grid_elec_cons_kw,solar_elec_cons_kw
2016-05-05 10:50:00,12.0,3600.0,0.0,3600.0
2016-05-05 11:00:00,12.0,3600.0,0.0,3600.0
2016-05-05 11:10:00,12.0,3600.0,0.0,3600.0
2016-05-05 11:20:00,12.0,3600.0,0.0,3600.0
2016-05-05 11:30:00,12.0,3600.0,0.0,3600.0
2016-05-05 11:40:00,12.0,3600.0,0.0,3600.0
2016-05-05 11:50:00,12.0,3600.0,0.0,3600.0
2016-05-05 12:00:00,12.0,3600.0,0.0,3600.0
2016-05-05 12:10:00,12.0,3600.0,0.0,3600.0
2016-05-05 12:20:00,12.0,3600.0,0.0,3600.0
2016-05-05 12:30:00,12.0,3600.0,0.0,3600.0
2016-05-05 12:40:00,12.0,3600.0,0.0,3600.0
2016-05-05 12:50:00,12.0,3600.0,0.0,3600.0
2016-05-05 13:00:00,12.0,3600.0,0.0,3600.0
2016-05-05 13:10:00,12.0,3600.0,0.0,3600.0
2016-05-05 13:20:00,12.0,3600.0,0.0,3600.0
2016-05-05 13:30:00,12.0,3600.0,0.0,3600.0
2016-05-05 13:40:00,12.0,3600.0,0.0,3600.0
2016-05-05 13:50:00,12.0,3600.0,0.0,3600.0
2016-05-05 14:00:00,12.0,3600.0,0.0,3600.0
2016-05-05 14:10:00,12.0,3600.0,0.0,3600.0
2016-05-05 14:20:00,11.988067358937355,3596.4202076812066,60.840207681206415,3535.58
2016-05-05 14:30:00,11.976134717874709,3592.840415362413,121.68041536241283,3471.1600000000003
2016-05-05 14:40:00,11.964202076812064,3589.2606230436195,182.52062304361925,3406.7400000000002
2016-05-05 14:50:00,11.95226943574942,3585.680830724826,243.36083072482566,3342.32
2016-05-05 15:00:00,11.940336794686775,3582.1010384060323,304.20103840603207,3277.9000000000005
2016-05-05 15:10:00,11.92840415362413,3578.521246087239,365.0412460872385,3213.4800000000005
2016-05-05 15:20:00,11.749190935176388,3524.7572805529167,452.0072805529162,3072.7500000000005
2016-05-05 15:30:00,11.569977716728648,3470.9933150185943,538.9733150185939,2932.0200000000004
2016-05-05 15:40:00,11.390764498280907,3417.229349484272,625.9393494842716,2791.2900000000004
2016-05-05 15:50:00,11.211551279833166,3363.4653839499497,712.9053839499493,2650.5600000000004
2016-05-05 16:00:00,11.032338061385424,3309.7014184156274,799.871418415627,2509.8300000000004
2016-05-05 16:10:00,10.853124842937683,3255.937452881305,886.8374528813047,2369.1000000000004
